post_id,author,title,body,image,image description
hocn4e,Njere,individual; consistently; married; happier; life; consistent; single; moved; various; relationship,,-1,
hszydf,GreekSymmetrics,penis; size; basically; main; reason; woman; cheat; case; husband; boyfriend; dont; penis; smaller; average; size,,-1,
hs9g6r,G0DF0RBID,speed; dating; study; woman; likely; choose; speed; dater; taller; whereas; likely; choose; woman; shorter,,-1,
hlox32,[deleted],starting; right; similar; blackpillsciences; message; trying; proliferate; blackpill; idea; general; manosphere; daily; livestream; podcast; called; menz; rightz; newz; click; subscribe; watch; podcast; trailer,,-1,
hllzmh,juzeza,offended; offended; empirical; study; proclivity; offended; say; employee; attitude; behavior,,-1,
hynuwb,G0DF0RBID,le; attractive; longer; female; partner; make; wait,,-1,
i1dbu8,Darkhives1,woman; thought; single; found; attractive; thought; committed; relationship; found; attractive; single; woman; interested; poaching; attached; rather; pursuing; single,,-1,
hwhc6e,statusincorporated,overall; female; give; attention; socio; economic; characteristic; le; judgy; appearance; general; online; dating,,-1,
hwgy3n,statusincorporated,sexual; partner; last; year; number; fairly; stable; last; year,,-1,
hw158s,statusincorporated,facial; adiposity; correlate; facial; attractiveness; masculinity,,-1,
hvvbx5,GalileosTele,feminist; scholar; manipulate; data; always; agree,,-1,
hrb2cu,MediocreLeader,unattractive; people; unaware; attractiveness,,-1,
hqvbjg,GigaSpergcel,denial; gender; discrimination; associated; better; subjective; among; woman; napier,,-1,
hqvabk,GigaSpergcel,unattractive; people; received; percent; longer; sentence; attractive; people; down; lyon,,-1,
