post_id,author,title,body,image,image description
lwpjgl,budur-chudur,higher; intelligence; correlated; higher; inhibition; self; control,,-1,
m04a5j,Deveoni,study; find; knowing; flirt; main; reason; behind; involuntary; singlehood; factor; followed; knowing; perceive; signal; interest; lack; effort; overly; high; level; choosiness; social; science,,-1,
m5wc7r,[deleted],meta; topic; someone; trying; take,,-1,
m42124,llalperll,banned; farewell; everyone,,-1,
lxzty9,trpanalysis,science; know,,-1,
lxirsj,[deleted],individual; aesthetic; preference; face; shaped; mostly; environment; gene,,-1,
mevzsd,SisterKesha,sexual; regret,,-1,
mgzhz6,Ohyarlysmiles,height; exerts; real; weak; effect; actual; pairing; data; thousand; parent; child; born,,-1,
mgzg6z,Ohyarlysmiles,curvelinear; effect; height; reproductive; success; average; height; male; child; literature; review,,-1,
mg3y5v,uglythrowaway12000,match; tinder; usage; attitude; toward; interracial; dating,,-1,
mfxtop,PM_ME_PERFECT_GIRLS,brutal,,-1,
