post_id,author,title,body,image,image description
cyr953,Altmark22,study; find; woman; viewing; recorded; interaction; male; subject; female; confederate; found; male; higher; psychopathy; desirable; controlling; physical; attractiveness; brazil; forth,,-1,
cyqhea,rothkochapel,study; find; facially; unattractive; adolescent; lose; social; popularity; aggressively; facially; attractive; one; lose; popularity; post,,-1,
cyfdi3,Altmark22,majority; female; reported; wearing; high; heel; shoe; date; attractive; male; contrast; female; reported; wearing; high; heel; date; unattractive; male; prokop; vanc,,-1,
cyey0j,Altmark22,study; find; facially; unattractive; adolescent; aggressively; reduced; popularity; result; aggressive; behavior; decrease; facially; attractive; adolescent; popularity,,-1,
cy7tiq,bbbmtt66,heightsm; debunked; height; matter,,-1,
d0cvcx,efinita,marriage; rate; make; money,,-1,
d03fsn,BakedNietzsche,student; date; date; social; misfit; suggests; study; found; adolescent; relationship; good; social; skill; depression; fared; better; equal; peer; dated; refuting; notion; daters; maladjusted,,-1,
d4m1v8,empatheticapathetic,marital; satisfaction; linked; woman; sexual; desire; suggests; study; found; woman; level; sexual; desire; lower; beginning; marriage; much; variable; level; sexual; desire; stayed; higher; constant,,-1,
d48mf6,Kajel-Jeten,anyone; know; study; role; physical; attractiveness; effect; child; adoption,,36,
d43v9h,Mohamed_Han,woman; generally; report; greater; disgust; especially; regarding; sexual; disgust; general; repulsiveness; argued; consistent; woman; selective; regarding; evolutionary; reason; affect; wide; array; outcome; including; selection; mate; choice,,-1,
d3ocd1,Mohamed_Han,physical; attractiveness; much; important; mutual; interest; attudude; religion; value; intelligence; dating; behaviour; woman; please; download; read; result; number; show; look; dominance,,-1,
d3o6g9,Mohamed_Han,rate; woman; highly; woman; rate,,-1,
d1azgg,Pretend_Yard,scientist; looking; attractiveness; woman; suggest; race; subconsciously; attracted; fairer; skinned; woman; woman; drawn; dark; complexioned,,-1,
d0w44j,Allan314,paper; global; ancestry; cognitive; ability; study,,-1,
d0nycd,red_matrix,unmarried; woman; face; shortage; partner; marriage; market,,-1,
d9beoy,Njere,liked; woman; tinder; woman; liked; mere; tinder,,-1,
dbi105,Homo-Erectuss,braincels; banned; place; might; next,,-1,
dawsbp,BlackPill4492,blackpill; video,,-1,
dai91w,bcat124,attraction; correlated; characteristic; including; partner; conservatism; five; dimension; except; openness; anxiety; self; esteem; woman; partner; characteristic; showed; correlation; physical; attractiveness; sport; activity,,-1,
