post_id,author,title,body,image,image description
ckxl6x,Altmark22,revictimized; woman; history; intimate; partner; violence; rated; larger; fwhrs; higher; value; actual; aggressionto; attractive; revictimized; woman; without; history; lieberz,,-1,
ckwdnr,Altmark22,study; psychiatric; hospital; outpatient; find; high; cluster; personality; trait; borderline; narcissism; antisocial; personality; disorder; report; sexual; partner; offspring; trait; guti; rrez,,-1,
cms4vn,CuriousExMuslim,heightism; essay; discrimination; based; height; unpacked,,-1,
cmlx0h,MMDT,heterosexual; couple; meeting; online; become; popular; meet; eclipsing; meeting; friend; experiencing; decline,,-1,
cm90sy,eduardkoopman,effect; scarcity; cheating; group; favoritism,,-1,
cm2f9w,perlman_sonata_1,scientific; blackpill; incels; wiki; compilation; lookism; related; science,,-1,
clrbj2,Altmark22,therefore; multiple; line; evidence; suggest; mating; motif; play; important; role; driving; nancial; social; bias; toward; attractive; adult; previously; recognized; maestripieri; henry; nickel,,-1,
cs5xn9,LordEppley,call; scientific; term; mating; strategy; cucks; paying; woman; shit; letting; move; apartment; rent; free,,-1,
crww2a,trafficon87,social; dominance; physical; attractiveness; predicts; male; mating; success; primate,,-1,
crwilw,randman78,couple; syndrome; told; marry; prove; critic; wrong; year; later; right; picture,,34,
crof7b,SophisticatedBean,muscularity; male; self; perceived; attractiveness; sex; associate; significantly; negatively; egalitarianism; around; price,,-1,
cro5et,SophisticatedBean,recession; cue; increase; woman; desire; owning; luxury; product; desire; bradshaw,,-1,
crm6cy,SophisticatedBean,another; replication; mate; choice; copying; woman; rate; point; attractive; surrounded; woman; alone; scofield,,-1,
crlvqa,SophisticatedBean,woman; reported; partner; small; penis; admitted; desiring; larger; lever,,-1,
cr50of,Dincel_Washington,cue; upper; body; strength; account; variance; bodily; attractiveness,,-1,
cv1kcb,Futureman999,bully; study; show; teenager; exploitative; manipulative; trait; sexual; liaison; humble; honest; counterpart,,-1,
cukxcs,LordEppley,personality,,35,peco
cuglvh,throwmyrageaway,woman; show; sexual; preference; tall; dominant; gender; inequality; inevitable,,-1,
cugfjc,throwmyrageaway,woman; preference; facial; masculinity; strongest; favorable; ecological; condition,,-1,
cqsl71,SophisticatedBean,woman; rate; meat; eating; attractive; perceiving; masculine; timeo,,-1,
cpu892,baykk8,korean; smallest; penis; research; find; wonder; half; woman; want; white; baby,,-1,
cw7s9h,SophisticatedBean,intelligent; likely; value; monogamy; sexual; exclusivity; le; intelligent; kanazawa,,-1,
cw6og9,SophisticatedBean,greater; wealth; inequality; le; polygyny; rethinking; polygyny; threshold; model; ross,,-1,
cw1cha,oberlre02,post; germany; gender; ratio; among; people; aged,,-1,
cvbqi2,SophisticatedBean,large; french; survey; admitted; sexual; intercourse; essential; feeling; good; oneself; bajos,,-1,
csx7bi,Altmark22,result; mirror; sexual; harassment; literature; suggest; harassment; younger; attractive; viewed; le; harassing; fairchild,,-1,
