post_id,author,title,body,image,image description
p4tnez,marliom,physical; attractiveness; predicts; endorsement; specific; evolutionary; psychology; principle,,-1,
p3q0zn,marliom,higher; wage; predicted; higher; proportion; married; whereas; woman; higher; wage; associated; lower; proportion; married,,-1,
pakg3l,empatheticapathetic,study; suggests; feeling; sexually; desired; partner; important; think,,-1,
p9ogbs,happygone25,variation; testosterone; level; boy; puberty; link; included,,-1,
p9hsnb,Subtropical_Blues,fuck,,-1,
pd5tu6,taffyharris,smart; smart,,-1,
pcmqp5,helloworld57852,average; reducing; depth; penetration; statistically; significant; reduction; overall; sexual; pleasure; average; reduction; length; penis,,-1,
oy6sfw,eduardkoopman,matching; attractiveness; romantic; partner; friend; meta; analysis; theoretical; critique; scinapse,,-1,
oxw60r,No-Service-6623,lady; dimitrescu; doll,,-1,
