post_id,author,title,body,image,image description
ej9ttv,CraCraMGTOW,commentary; social; medium; influencers,,-1,
ej7o2d,penpractice,arousal; pedophilic; stimulus; occurs; among; sizable; minority; normal; necessarily; associated; pedophilic; behavior; subject; self; reported; pedophilic; interest; exhibited; penile; arousal; pedophilic; stimulus; equalled; exceeded; arousal; adult; stimulus,,-1,
eilhv4,SchizoSocialClub,beauty; determines; whether; romantically; desire; dismiss; high; status; woman,,-1,
ekrupm,SchizoSocialClub,woman; strategic; defense; aggression; evidence; sartorial; behavior,,-1,
ekrgwr,eduardkoopman,predictive; aspect; nonverbal; courtship; behavior; woman,,-1,
ekrg4o,eduardkoopman,predictive; aspect; nonverbal; courtship; behavior; woman,,-1,
enxzcx,Whiteberry,woman; refuse; date; iphones,,-1,
eocdju,uyry,lead; happiness; year; harvard; study; concludes; satisfaction; relationship; matter; long; term; fulfillment; health; factor,,-1,
et53c7,efinita,average; height; japanese; born; later; declining; study; find,,-1,
et3fy0,PixelatedDoppelgangr,misognyny; scientific; basis; kind; evidence; philogyny; misandry,,-1,
es6wkm,FearOfBees,aspirational; pursuit; mate; online; dating; market; race; gender; hottest,,-1,
erlr2d,veneev,hdson; romantic; relationship; quality; moderate; whether; spending; time; partner; predicts; gain; loss,,-1,
ewodkj,createweirdstories,anyway; blackpill,,-1,
euy06p,LordEppley,bored; woman; tend; feel; stultified; bored; frustrated; suppressed; long; term; exclusivity; despite; taught; designed,,-1,
euox0t,createweirdstories,woman; embraced; shallow; superficial; think; everyone; enjoy; blackpilling; think; people; proud; attracted; beautiful; people; really; shallow; love; give; pleasure,,-1,
elxskg,YorubaWarGod2019,hello; guy; year; intimacy; time; different; female; could; blackpill; expert; point; facial; shortcoming; best; face,,0,peco
