post_id,author,title,body,image,image description
kpm6jm,RoutineBookkeeper1,chicken; prefer; beautiful; human,,-1,
kpief3,simpceldetector,hunter; prey; eye,,-1,
koz4p2,simpceldetector,hunter; eye; importance,,-1,
kohezg,wciaz,gender; role; ideology; height; preference; mate; selection,,-1,
ksb6ov,Ohyarlysmiles,confidence; exerts; significant; independent; effect; male; attractiveness; boyos,,-1,
kruuyn,simpceldetector,hunterrrr,,-1,
kqx7r7,simpceldetector,hunter; eyes,,-1,
kqcs17,simpceldetector,hunter; eye; mewing,,-1,
kvkcog,OwOFemboyUwU,important; physical; attractiveness; marriage; market; ignacio; pastor,,-1,
kv1mmz,simpceldetector,hunter,,-1,
l0956f,MonicaB921,experimental; evidence; difference; sexual; variety; preference; support; coolidge; effect; human,,-1,
kzy9ok,simpceldetector,redpill,,-1,
kzy69s,Ohyarlysmiles,body; language; alone; powerful; enough; cause; chance; increase; likelihood; speed; dater; would; find; romantically; desirable; every; unit; increase; dominant; body; language,,-1,
kz5p7a,simpceldetector,redpill,,-1,
kz4b7d,RoutineBookkeeper1,maxim; myth; beauty; meta; analytic; theoretical; review,,-1,
kym931,simpceldetector,redpill; garbage,,-1,
l2bo0t,Bigtuezdae33,many; view; video,,-1,
l1e1ed,simpceldetector,redpill; lie,,-1,
l12k0x,LePetitPhaguette,woman; sexual; partner; prior; marriage; rate; subsequent; divorce,,-1,
l0pu99,simpceldetector,redpill,,-1,
l4mkk8,CarefulConsequence71,research; attraction; race; interested; please; short; quiz; clicking; survey; monkey; link,,-1,
l3u66i,jtteop,people; around; world; getting; shorter; study; find,,-1,
l3liia,wciaz,look; lie; role; physical; attractiveness; online; dating; self; presentation; deception,,-1,
l2s67x,simpceldetector,redpill; lie,,-1,
l6v414,Ohyarlysmiles,extraversion; strong; predictor; attractiveness; determining; status; within; mixed; group; neuroticism; rather; opposite; hint; exerting; nearly; strong; effect; personality; matter; brohs,,-1,
l6grdd,LePetitPhagette,promiscuity; fact; good; predictor; infidelity; indeed; promiscuity; among; female; accounted; almost; twice; much; variance; infidelity; male,,-1,
l67wlx,KitezhGrad,approaching; speed; dating; opposed; approached; made; woman; experience; romantic; desire; significantly; higher; rate; eradicating; difference; romantic; selectivity,,-1,
l97e0g,trpanalysis,rhetorical; deconstruction; dating; roach; tactic,,-1,
l87rw5,Njere,woman; preferred; omnivorous; meat; eating; rated; attractive; felt; positive; vegetarian; vegetarian; considered; le; attractive; perceived; le; masculine; timeo; suitner,,-1,
