post_id,author,title,body,image,image description
lgqipp,Ohyarlysmiles,boyos; beauty; premium; evaporates; considering; neuroticism; trait; ugly; people; earn; much; attractive; people,,-1,
lkfgrk,Bored_Googling,polygamy; breed; civil; economist,,-1,
lptgwc,litterboxthekhajiit,blackpill; discord; server; need; member; focusing; discussion; le; shitposts,,-1,
lo10cv,LePetitPhagette,pproximately; half; woman; quintiles; sociosexuality; willingness; engage; outside; committed; relationship; sexually; unfaithful; steady; partner; tenfold; increase; corresponding; rate; people; bottom; quintiles,,-1,
lnmlyx,LePetitPhagette,truism; psychology; best; predictor; future; behavior; past; behavior; le; true; sexual; behavior; strongest; predictor; marital; infidelity; number; prior; partner; deception; past; promiscuity; would; inflict; greater; cost; average,,-1,
lng0pk,empatheticapathetic,teen; bully; harass; victimize; peer; often; using; aggression; strategically; climb; school; social; hierarchy; highest; rate; bullying; occurring; friend; friend; friend; finding; point; reason; anti; bullying; program; work,,-1,
ln8lqx,LePetitPhagette,odds; ratio; lifetime; sexual; partner; obtained; face; face; mode; interview; indicates; probability; infidelity; woman; increased; every; additional; lifetime; sexual; partner; probability; sexual; infidelity; increased; lifetime; partner,,-1,
lmktug,LePetitPhagette,infidelity; number; sexual; partner; moderate; genetic; influence; correlation; trait; strong; resulting; genetic; correlation; trait; nearly; half; gene; impacting; infidelity; affect; number; sexual; partner,,-1,
lm7elc,LePetitPhagette,promiscuity; fact; good; predictor; infidelity; indeed; promiscuity; among; female; accounted; almost; twice; much; variance; infidelity; male,,-1,
lrh8e4,Ohyarlysmiles,male; strength; linked; facial; cue; associated; attractiveness; associated; dominance,,-1,
lrgjek,Ohyarlysmiles,gene; account; minimal; amount; variance; mate; choice; unique; environment; play; largest; role,,-1,
lre90x,LePetitPhagette,woman; sexual; partner; prior; marriage; rate; subsequent; divorce,,-1,
lrcu3i,Njere,overall; woman; expressed; preference; circumcised; penis; preference; seen; population; regardless; prevalence; population; reason; expressed; preference; included; better; appearance; improved; hygiene; reduced; risk; infection; pleasure,,-1,
lu6ess,potatorockstar,thats; femoids; detect; personality; terminator; right,,-1,
lst6lr,motivation2804,researcher; looked; yearbook; photo; school; undergraduate; able; accurately; predict; career; success; student; face,,-1,
