post_id,author,title,body,image,image description
pneo83,Maleofthefuturecom,year; much; younger; woman; male; future; mgtow; forum; self; development; woman,,-1,
pxy2id,Sanaska,blackpill; channel,,-1,
ps55wu,Truthful18,academic; success; predicted; birth,,-1,
pk06ae,U_Hypocrite,woman; birth; control; prefer; le; masculine; face,,-1,
pqlfz7,signaturefade,looksmaxing; perfect; system; roughly; method,,-1,
ph3peo,ChaosConfronter,high; testosterone; reject; ultimatum; game; offer; proceeding; royal; society; biological; science,,-1,
pgkbbn,ChaosConfronter,high; testosterone; reject; ultimatum; game; offer; terence; burnham,,-1,
pukgbm,[deleted],addressing; sexual; harassment; work,,-1,
pttzr4,idiotlost666,,,-1,
pmrcjl,Maleofthefuturecom,every; woman; prostitute,,-1,
