post_id,author,title,body,image,image description
b91ttf,AstroGeek55,pointless; argue; logic; none,,-1,
b9112l,LittleMooMoo5,touch; woman; unless; permission; rocket; science; take; rapey; vibe; garbage; belong,,-1,
b90u63,LittleMooMoo5,love; dating; smart; woman; unless; earns; smart; public,,-1,
b905um,JezebeltheQueen5656,never; trust,,-1,
b8zrk0,JezebeltheQueen5656,love; evil; shallow; woman; pursues; find; attractive; inch; bigger; dick; amount; male; whining; going; change,,-1,
b7ton5,AggravatingAerie,three; type; tinder,kind; experience; say; seem; keep; conversation; going; love; answer; question; never; asks; question; back; immediately; asks; fuck,-1,
b7tjjw,AstroGeek55,parasite; master; projection,,-1,
ba8qe9,throwawayneedhelpceh,suicide,plan; kill; since; know; received; going; handgun; though; shotgun; higher; success; rate; aiming; temple; order; life; know; people; survived; attempted; suicide; firearm; majority; using; handgun; using; shotgun; despite; movie; television; show; would; believe; overdosing; prescription; medication; lethality; rate; around; nowhere; near; good; enough; exit; hold; around; oding; illegal; drug; pull; around; course; carry; certain; amount; pain; shotgun; head; success; rate; rank; around; term; agony; shotgun; going; next; best; thing; already; mental; health; system; came; door; planned; ride; back; everything; institution; kept; three; day; know; help; help; conservative; deserve; said; schizophrenic; stopped; taking; medication; republican; white; male; like; deserve; deserve; therapy; deserve; anything; death; people; clean; gray; matter; bonus; took; time; hurried; choice; mine; done; time; come; voted; donald; trump; tetragrammaton; bathe; world; nuclear; fire; amen,-1,
ba4yip,AggravatingAerie,maybe; want; appearance; based; compliment; drink; favor; ride; want; held; responsible; repaying; gift,,-1,
ba4l3n,AggravatingAerie,,never; cool; girl; prioritizing; never; chill; girl; laughing; tolerating; misogynistic; language; sentiment; never; real; girl; crafting; attitude; disdain; woman; always; woman; woman,-1,
b9gi4i,ZestycloseOne,responded; seemed; confused; anyone; would; know; consent; table; unless; clear; stated; confusion; massive; flag; never; date; confused; consent,,-1,
bbbrtz,DestroyTheFalus,treat; feel; dont; decode; make; excuse; simple; act; like; doesnt; care; doesnt; care,,-1,
bbaw5c,DestroyTheFalus,come; shock; pearl; clutchers; tone; policers; woman; give; fuck; think; swearing; word; limit; gender,,-1,
bbavyb,DestroyTheFalus,never; live; happy; life; always; care; others; think,,-1,
bb9vn6,AstroGeek55,shout; woman; wear; make; love,,-1,
bb9csm,AstroGeek55,excuse; beating; woman,,-1,
bb979o,AggravatingAerie,people; seem; concerned; fear; sued; touch; without; consent; talk; know; wanting; consent; touched; good; fear; whatever; hell; work,,-1,
bb8mqj,AggravatingAerie,never; gotten; fact; longer; treat; woman; property,,-1,
baq46x,throwawayneedhelpceh,life,,-1,
bapb44,PCrafterZ,shocked; divide,honestly; make; feel; genuinely; disappointed; woman; dueling; trying; become; fairest; best; whatever; make; feel; like; somewhere; humanity; fucked; fucked; time; mean; gender; suck; point; know; someone; mention; personally; treat; woman; different; open; door; thank; polite; treat; woman; respect; equally; surprisingly; maybe; want; make; bitch; genuinely; nice; guy; niceguys; genuine; nice; funny; happy; around; guy; love; want; breast; vagina; asshole; kink; love; pretend; speak; gender; fucked; woman; thing; basically; make; wrong; make; le; wrong; part; going; vent; shame; making; dedicated; causing; divide; shame; attempting; hypocritical; person; call; rapist; want; kill; pretend; like; want; kill; agree; rapist; jail; deserve; treat; like; object; treat; like; posting; subreddits,-1,
bao88v,JezebeltheQueen5656,part; culture; right; woman; worry; everyday; hurting; feeling; feeling; hurt; especially; female; believe; right; physically; punish; punishment; often; lead; death,almost; society; fails; teach; young; handle; emotional; instability; handle; rejection; fine; woman; bitch; said; enough; afraid; woman; laugh; woman; afraid; kill; teach; handle; inevitable; rejection; grace; teach; entitled; woman; energy; body; teach; woman; stand; full; sentence; woman; always; considered; dominate; possession; therein; lie; problem,-1,
bao6nm,JezebeltheQueen5656,part; culture; right; woman; worry; everyday; hurting; feeling; feeling; hurt; especially; female; believe; right; physically; punish; punishment; often; lead; death,,-1,
banopf,LittleMooMoo5,girl; world,watch; drink; bar; club; girl; high; risk; drugged; make; sure; followed; girl; kidnap; make; sure; take; shit; girl; take; advantage,-1,
bamq7b,JezebeltheQueen5656,ability; function; woman; hinge; beautiful; matter; need; beautiful; time; need; beautiful; time,,-1,
bamo2s,JezebeltheQueen5656,woman; take; responsibility; action; hateful,,-1,
baldtj,JezebeltheQueen5656,dump; never; look; back,,18725,boyfriend; think; boyfriend; like; boyfriend; want; speak
bajbzs,DestroyTheFalus,remember; lady; best; avoid; unwanted; pregnancy; using; pull; method; pull; heterosexuality; date; another; woman,,-1,
bc7s8w,JezebeltheQueen5656,daily; reminder; tell; touch; permission; first,,-1,
bc79ht,DestroyTheFalus,noticed; since; late; list,,-1,
bbg2of,ZestycloseOne,woman; natural; body; shameful; ugly,want; cellulite; perfectly; normal; slim; woman; cellulite; normal; thing; woman; body; store; ob; part; perfectly; normal; natural; body; ugly; part; woman; natural; body; shameful; ugly; body; exist; please,-1,
bbe41o,AggravatingAerie,mansplaining; toxic; masculinity; exist; real; world; pretty; good; fucking; example; toxic; masculinity,lady; whenever; potential; partner; mansplains; reality; ditch; asap,-1,
bdkuul,DestroyTheFalus,think; woman; start; healing; admit; female; socialization; inherently; traumatizing; insecurity; body; manufactured; distract; hold; back,,-1,
bdktny,DestroyTheFalus,,little; girl; allowed; hair; short; wear; comfortable; clothes; roll; around; play; little; girl; never; asked; theoretical; boyfriend; idea; boyfriend; thrust; little; girl; crush; best; friend; who; girl; able; open; little; girl; allowed; comfortable; little; kid,-1,
bdkorl,DestroyTheFalus,thing; woman; ashamed,,-1,
bdk6o3,JezebeltheQueen5656,stopped; watching; game; throne; season; certainly; gripping; really; liked; character; sexual; violence; entertainment; grim; stuck; long; enough; watch; joffrey; gave,,-1,
bcti0u,JezebeltheQueen5656,like; toast; medium; rare; like; male; manner,,-1,
bctgs0,JezebeltheQueen5656,swear; dude; like; damn; girl; sexy; hell; love; dick; married; straight; whoa; giving; compliment; full,,-1,
bcs049,Manhater666,self; worth; come; beauty; appeal; weight; thigh; body; anyone; treat; like; need; ridding; life; surround; people; intellect; passion; interest; love,,-1,
be6wzf,DestroyTheFalus,love; seeing; teen; girl; young; woman; without; makeup; covering; acne; skin; uncovered; acne; bare; skin; cool; girl; cool; proud,,-1,
bfef96,ZestycloseOne,friendly; reminder; shake; hand; touch; face; washed; hand,isnt; feminist; joke; basically; teach; food; safety; since; many; guy; think; fine; wash; hand; touched; dick,-1,
bfeaks,ZestycloseOne,accepting; look; individuality; important; aspect; life,,-1,
bfe63m,Manhater666,american,type; disappointed; relationship; american; woman; started; branch; foreign; country; search; something; special; type; thought; could; acquire; cheap; household; labor; along; cooking; cleaning; laundry; would; provide; type; thought; would; easier; dominate; poor; foreign; woman; pitched; long; winded; explanation; traditional; marriage; type; seeking; traditional; marriage; included; extra; partner; sane; woman; american; would; never; agree; experience; leave; type; comfortable; wide; variety; social; setting; easier; know; woman; correspondence; meeting; face; face,-1,
bfe1na,Manhater666,quit; making; excuse; people; treat; enabling; treat; like; shit; green; light; keep; foul; thing; stand; life; short; keep; people; around; respect,,-1,
bfdsl7,Manhater666,tattoo; misogynist; repellent,,-1,
bf7da8,JezebeltheQueen5656,multiple; side; dude; critical; need; option; walk; away; always; fingertip; pick,,-1,
bf7czt,JezebeltheQueen5656,relationship; keeping; edge,,-1,
bf4oms,Friendly_Tone,everything; looking; already; within,soul; mate; twin; flame; make; keep; looking; stop; whole,-1,
bf40i1,JezebeltheQueen5656,trust; male; illness,,-1,
bgt95u,RadicalHarpy,rule; misogyny,,-1,
bgj0e0,DestroyTheFalus,aging; woman; secret; superpower,,-1,
bhqise,Friendly_Tone,dear; woman; choose,,-1,
bhoinr,JezebeltheQueen5656,outta; lady; pornsick,able; stay; erect; first; time; nerve; tell; porn; watched; much; porn; tell; nerve; playing; outta,-1,
bho7sg,JezebeltheQueen5656,super; spiritual; feminist; always; absolute; worst; mask; cover; trash,,-1,
bhnnb9,JezebeltheQueen5656,attractive; first; settle; shit; get; fast; average; guy; reluctant; still; wondering; might; missed,give; date; attractive; ignore; ugly; one; give; inch; take; mile,-1,
bhnism,JezebeltheQueen5656,someone; refuse; commit; ready; secretly; believe; better; holding,,-1,
bj8vlz,Friendly_Tone,dear; woman; person; power; decide; whether; need; abortion,,-1,
bj8ait,Friendly_Tone,dude; using; mary; describe; arya; stark; remove; doubt; sexist; term; used; convey; belief; cool; heroic; moment; movie,,-1,
bj865b,Manhater666,relationship; wasted; needed; failed; love; learn; real; love; mean; right; come; appreciate; real; love; walk; away; pain; disguised; love; real; love; sweetie,,-1,
bipdr6,JezebeltheQueen5656,manlets; literally; shame; demanding; rejecting; woman; based; physical; appearance; somehow; woman; accept; applebees; date; money; doesnt; matter; bullshit; lady; ruthless; dating; deserve; happy,,-1,
