comment_id,author,body
eczaplp,kaikaipanda,need; girlfriend; year; left; another; month; moving; shanghai; work; shanghai; find
eczai4i,DoneScannedIt,people; complain; lifting; tinder; match; lifting; commitment; strength; confidence; physical; appearance; self; improvement; healthy; living; shit; together; much; improvement; look; thing; improve; look; based; success; getting; tinder; match; much; important; long; term; managing; relationship; frame; edit; typo
eczaakd,Tie5o11,dropdead; tempolaca; definitely; drew; long; stick; short; complaining; maybe; average; inch; dick; couple; experience; girl; loose; definitely; fill; hooked; couple; small; girl; could; take; thrusting; matter; comparability; anything; else
ecz9wp8,helterskelter1988,tinder; waste; time; unless; using; tinder; lay; span; year; time; wasted; back; would; spent; least; half; time; better; result; gamed
ecz9dzr,helterskelter1988,right; bother; grabbing; drink; rando; tinder; boned; number; chad; demand
ecz99op,throwaway9935555,homo; botox; injection; lift; thin; jawline
ecz95ty,throwaway9935555,like; really; using; normal; distribution; mean; clearly; average; fair; take; account; people; handicapped; people; sick; people; people; read; rule; think; rating; system; targeting; healthy; people; age; still; better; mean; feel; like; salt; mine
ecz8j0f,b0utch,missed; gene; genetic; degenerate; lower; quality; genetic; pool; getting; definition; gulagle; mind
ecz7yw2,MattyAnon,great; reminder; post; woman; attracted; girl; hamster; brain; really; know; word; true; variously; called; social; credit; sexy; hypothesis; deeper; level; hamstering; female; finding; attractive; inherently; attractive; like; firm; tit; woman; like; liked; woman; conversely; liking; woman; much; milder; attracter; case; repeller; effect; powerful; everything; power; leverage; meet; girl; place; girl; know; flirt; girl; front; note; talking; woman; finding; attractive; worthless; probably; damaging; opposite; laugh; female; attention; friendly; make; seem; normal; abundant; life
ecz7iy3,circlingldn,god; name; would; social; medium
ecz7hwj,circlingldn,plenty; school; pharm; school; dental; school; chick; arent; fucking; rich; looking; best; male; class; literally; become; rich
